file,percent,plain_decode_ok,enc_decode_ok
Abdoulaye_Wade\Abdoulaye_Wade_0004.png,4,1,1
Abdoulaye_Wade\Abdoulaye_Wade_0004.png,6,1,1
Abdoulaye_Wade\Abdoulaye_Wade_0004.png,8,1,1
Abdoulaye_Wade\Abdoulaye_Wade_0004.png,10,1,1
Abdoulaye_Wade\Abdoulaye_Wade_0004.png,12,1,1
Abdoulaye_Wade\Abdoulaye_Wade_0004.png,15,1,1
Abdullah\Abdullah_0001.png,0,1,1
Abdullah\Abdullah_0001.png,2,1,1
Abdullah\Abdullah_0001.png,4,1,1
Abdullah\Abdullah_0001.png,6,1,1
Abdullah\Abdullah_0001.png,8,1,1
Abdullah\Abdullah_0001.png,10,1,1
Abdullah\Abdullah_0001.png,12,1,1
Abdullah\Abdullah_0001.png,15,1,1
Abdullah\Abdullah_0002.png,0,1,1
Abdullah\Abdullah_0002.png,2,1,1
Abdullah\Abdullah_0002.png,4,1,1
Abdullah\Abdullah_0002.png,6,1,1
Abdullah\Abdullah_0002.png,8,1,1
Abdullah\Abdullah_0002.png,10,1,1
Abdullah\Abdullah_0002.png,12,1,1
Abdullah\Abdullah_0002.png,15,1,1
Abdullah\Abdullah_0003.png,0,1,1
Abdullah\Abdullah_0003.png,2,1,1
Abdullah\Abdullah_0003.png,4,1,1
Abdullah\Abdullah_0003.png,6,1,1
Abdullah\Abdullah_0003.png,8,1,1
Abdullah\Abdullah_0003.png,10,1,1
Abdullah\Abdullah_0003.png,12,1,1
Abdullah\Abdullah_0003.png,15,1,1
Abdullah\Abdullah_0004.png,0,1,1
Abdullah\Abdullah_0004.png,2,1,1
Abdullah\Abdullah_0004.png,4,1,1
Abdullah\Abdullah_0004.png,6,1,1
Abdullah\Abdullah_0004.png,8,1,1
Abdullah\Abdullah_0004.png,10,1,1
Abdullah\Abdullah_0004.png,12,1,1
Abdullah\Abdullah_0004.png,15,1,1
Abdullah_al-Attiyah\Abdullah_al-Attiyah_0001.png,0,1,1
Abdullah_al-Attiyah\Abdullah_al-Attiyah_0001.png,2,1,1
Abdullah_al-Attiyah\Abdullah_al-Attiyah_0001.png,4,1,1
Abdullah_al-Attiyah\Abdullah_al-Attiyah_0001.png,6,1,1
Abdullah_al-Attiyah\Abdullah_al-Attiyah_0001.png,8,1,1
Abdullah_al-Attiyah\Abdullah_al-Attiyah_0001.png,10,1,1
Abdullah_al-Attiyah\Abdullah_al-Attiyah_0001.png,12,1,1
Abdullah_al-Attiyah\Abdullah_al-Attiyah_0001.png,15,1,1
Abdullah_al-Attiyah\Abdullah_al-Attiyah_0002.png,0,1,1
Abdullah_al-Attiyah\Abdullah_al-Attiyah_0002.png,2,1,1
Abdullah_al-Attiyah\Abdullah_al-Attiyah_0002.png,4,1,1
Abdullah_al-Attiyah\Abdullah_al-Attiyah_0002.png,6,1,1
Abdullah_al-Attiyah\Abdullah_al-Attiyah_0002.png,8,1,1
Abdullah_al-Attiyah\Abdullah_al-Attiyah_0002.png,10,1,1
Abdullah_al-Attiyah\Abdullah_al-Attiyah_0002.png,12,1,1
Abdullah_al-Attiyah\Abdullah_al-Attiyah_0002.png,15,1,1
Abdullah_al-Attiyah\Abdullah_al-Attiyah_0003.png,0,1,1
Abdullah_al-Attiyah\Abdullah_al-Attiyah_0003.png,2,1,1
Abdullah_al-Attiyah\Abdullah_al-Attiyah_0003.png,4,1,1
Abdullah_al-Attiyah\Abdullah_al-Attiyah_0003.png,6,1,1
Abdullah_al-Attiyah\Abdullah_al-Attiyah_0003.png,8,1,1
Abdullah_al-Attiyah\Abdullah_al-Attiyah_0003.png,10,1,1
Abdullah_al-Attiyah\Abdullah_al-Attiyah_0003.png,12,1,1
Abdullah_al-Attiyah\Abdullah_al-Attiyah_0003.png,15,1,1
Abdullah_Gul\Abdullah_Gul_0001.png,0,1,1
Abdullah_Gul\Abdullah_Gul_0001.png,2,1,1
Abdullah_Gul\Abdullah_Gul_0001.png,4,1,1
Abdullah_Gul\Abdullah_Gul_0001.png,6,1,1
Abdullah_Gul\Abdullah_Gul_0001.png,8,1,1
Abdullah_Gul\Abdullah_Gul_0001.png,10,1,1
Abdullah_Gul\Abdullah_Gul_0001.png,12,1,1
Abdullah_Gul\Abdullah_Gul_0001.png,15,1,1
Abdullah_Gul\Abdullah_Gul_0002.png,0,1,1
Abdullah_Gul\Abdullah_Gul_0002.png,2,1,1
Abdullah_Gul\Abdullah_Gul_0002.png,4,1,1
Abdullah_Gul\Abdullah_Gul_0002.png,6,1,1
Abdullah_Gul\Abdullah_Gul_0002.png,8,1,1
Abdullah_Gul\Abdullah_Gul_0002.png,10,1,1
Abdullah_Gul\Abdullah_Gul_0002.png,12,1,1
Abdullah_Gul\Abdullah_Gul_0002.png,15,1,1
Abdullah_Gul\Abdullah_Gul_0003.png,0,1,1
Abdullah_Gul\Abdullah_Gul_0003.png,2,1,1
Abdullah_Gul\Abdullah_Gul_0003.png,4,1,1
Abdullah_Gul\Abdullah_Gul_0003.png,6,1,1
Abdullah_Gul\Abdullah_Gul_0003.png,8,1,1
Abdullah_Gul\Abdullah_Gul_0003.png,10,1,1
Abdullah_Gul\Abdullah_Gul_0003.png,12,1,1
Abdullah_Gul\Abdullah_Gul_0003.png,15,1,1
Abdullah_Gul\Abdullah_Gul_0004.png,0,1,1
Abdullah_Gul\Abdullah_Gul_0004.png,2,1,1
Abdullah_Gul\Abdullah_Gul_0004.png,4,1,1
Abdullah_Gul\Abdullah_Gul_0004.png,6,1,1
Abdullah_Gul\Abdullah_Gul_0004.png,8,1,1
Abdullah_Gul\Abdullah_Gul_0004.png,10,1,1
Abdullah_Gul\Abdullah_Gul_0004.png,12,1,1
Abdullah_Gul\Abdullah_Gul_0004.png,15,1,1
Abdullah_Gul\Abdullah_Gul_0005.png,0,1,1
Abdullah_Gul\Abdullah_Gul_0005.png,2,1,1
Abdullah_Gul\Abdullah_Gul_0005.png,4,1,1
Abdullah_Gul\Abdullah_Gul_0005.png,6,1,1
Abdullah_Gul\Abdullah_Gul_0005.png,8,1,1
Abdullah_Gul\Abdullah_Gul_0005.png,10,1,1
Abdullah_Gul\Abdullah_Gul_0005.png,12,1,1
Abdullah_Gul\Abdullah_Gul_0005.png,15,1,1
Abdullah_Gul\Abdullah_Gul_0006.png,0,1,1
Abdullah_Gul\Abdullah_Gul_0006.png,2,1,1
Abdullah_Gul\Abdullah_Gul_0006.png,4,1,1
Abdullah_Gul\Abdullah_Gul_0006.png,6,1,1
Abdullah_Gul\Abdullah_Gul_0006.png,8,1,1
Abdullah_Gul\Abdullah_Gul_0006.png,10,1,1
Abdullah_Gul\Abdullah_Gul_0006.png,12,1,1
Abdullah_Gul\Abdullah_Gul_0006.png,15,1,1
Abdullah_Gul\Abdullah_Gul_0007.png,0,1,1
Abdullah_Gul\Abdullah_Gul_0007.png,2,1,1
Abdullah_Gul\Abdullah_Gul_0007.png,4,1,1
Abdullah_Gul\Abdullah_Gul_0007.png,6,1,1
Abdullah_Gul\Abdullah_Gul_0007.png,8,1,1
Abdullah_Gul\Abdullah_Gul_0007.png,10,1,1
Abdullah_Gul\Abdullah_Gul_0007.png,12,1,1
Abdullah_Gul\Abdullah_Gul_0007.png,15,1,1
Abdullah_Gul\Abdullah_Gul_0008.png,0,1,1
Abdullah_Gul\Abdullah_Gul_0008.png,2,1,1
Abdullah_Gul\Abdullah_Gul_0008.png,4,1,1
Abdullah_Gul\Abdullah_Gul_0008.png,6,1,1
Abdullah_Gul\Abdullah_Gul_0008.png,8,1,1
Abdullah_Gul\Abdullah_Gul_0008.png,10,1,1
Abdullah_Gul\Abdullah_Gul_0008.png,12,1,1
Abdullah_Gul\Abdullah_Gul_0008.png,15,1,1
Abdullah_Gul\Abdullah_Gul_0009.png,0,1,1
Abdullah_Gul\Abdullah_Gul_0009.png,2,1,1
Abdullah_Gul\Abdullah_Gul_0009.png,4,1,1
Abdullah_Gul\Abdullah_Gul_0009.png,6,1,1
Abdullah_Gul\Abdullah_Gul_0009.png,8,1,1
Abdullah_Gul\Abdullah_Gul_0009.png,10,1,1
Abdullah_Gul\Abdullah_Gul_0009.png,12,1,1
Abdullah_Gul\Abdullah_Gul_0009.png,15,1,1
Abdullah_Gul\Abdullah_Gul_0010.png,0,1,1
Abdullah_Gul\Abdullah_Gul_0010.png,2,1,1
Abdullah_Gul\Abdullah_Gul_0010.png,4,1,1
Abdullah_Gul\Abdullah_Gul_0010.png,6,1,1
Abdullah_Gul\Abdullah_Gul_0010.png,8,1,1
Abdullah_Gul\Abdullah_Gul_0010.png,10,1,1
Abdullah_Gul\Abdullah_Gul_0010.png,12,1,1
Abdullah_Gul\Abdullah_Gul_0010.png,15,1,1
Abdullah_Gul\Abdullah_Gul_0011.png,0,1,1
Abdullah_Gul\Abdullah_Gul_0011.png,2,1,1
Abdullah_Gul\Abdullah_Gul_0011.png,4,1,1
Abdullah_Gul\Abdullah_Gul_0011.png,6,1,1
Abdullah_Gul\Abdullah_Gul_0011.png,8,1,1
Abdullah_Gul\Abdullah_Gul_0011.png,10,1,1
Abdullah_Gul\Abdullah_Gul_0011.png,12,1,1
Abdullah_Gul\Abdullah_Gul_0011.png,15,1,1
Abdullah_Gul\Abdullah_Gul_0012.png,0,1,1
Abdullah_Gul\Abdullah_Gul_0012.png,2,1,1
Abdullah_Gul\Abdullah_Gul_0012.png,4,1,1
Abdullah_Gul\Abdullah_Gul_0012.png,6,1,1
Abdullah_Gul\Abdullah_Gul_0012.png,8,1,1
Abdullah_Gul\Abdullah_Gul_0012.png,10,1,1
Abdullah_Gul\Abdullah_Gul_0012.png,12,1,1
Abdullah_Gul\Abdullah_Gul_0012.png,15,1,1
Abdullah_Gul\Abdullah_Gul_0013.png,0,1,1
Abdullah_Gul\Abdullah_Gul_0013.png,2,1,1
Abdullah_Gul\Abdullah_Gul_0013.png,4,1,1
Abdullah_Gul\Abdullah_Gul_0013.png,6,1,1
Abdullah_Gul\Abdullah_Gul_0013.png,8,1,1
Abdullah_Gul\Abdullah_Gul_0013.png,10,1,1
Abdullah_Gul\Abdullah_Gul_0013.png,12,1,1
Abdullah_Gul\Abdullah_Gul_0013.png,15,1,1
Abdullah_Gul\Abdullah_Gul_0014.png,0,1,1
Abdullah_Gul\Abdullah_Gul_0014.png,2,1,1
Abdullah_Gul\Abdullah_Gul_0014.png,4,1,1
Abdullah_Gul\Abdullah_Gul_0014.png,6,1,1
Abdullah_Gul\Abdullah_Gul_0014.png,8,1,1
Abdullah_Gul\Abdullah_Gul_0014.png,10,1,1
Abdullah_Gul\Abdullah_Gul_0014.png,12,1,1
Abdullah_Gul\Abdullah_Gul_0014.png,15,1,1
Abdullah_Gul\Abdullah_Gul_0015.png,0,1,1
Abdullah_Gul\Abdullah_Gul_0015.png,2,1,1
Abdullah_Gul\Abdullah_Gul_0015.png,4,1,1
Abdullah_Gul\Abdullah_Gul_0015.png,6,1,1
Abdullah_Gul\Abdullah_Gul_0015.png,8,1,1
Abdullah_Gul\Abdullah_Gul_0015.png,10,1,1
Abdullah_Gul\Abdullah_Gul_0015.png,12,1,1
Abdullah_Gul\Abdullah_Gul_0015.png,15,1,1
Abdullah_Gul\Abdullah_Gul_0016.png,0,1,1
Abdullah_Gul\Abdullah_Gul_0016.png,2,1,1
Abdullah_Gul\Abdullah_Gul_0016.png,4,1,1
Abdullah_Gul\Abdullah_Gul_0016.png,6,1,1
Abdullah_Gul\Abdullah_Gul_0016.png,8,1,1
Abdullah_Gul\Abdullah_Gul_0016.png,10,1,1
Abdullah_Gul\Abdullah_Gul_0016.png,12,1,1
Abdullah_Gul\Abdullah_Gul_0016.png,15,1,1
Abdullah_Gul\Abdullah_Gul_0017.png,0,1,1
Abdullah_Gul\Abdullah_Gul_0017.png,2,1,1
Abdullah_Gul\Abdullah_Gul_0017.png,4,1,1
Abdullah_Gul\Abdullah_Gul_0017.png,6,1,1
Abdullah_Gul\Abdullah_Gul_0017.png,8,1,1
Abdullah_Gul\Abdullah_Gul_0017.png,10,1,1
