reducer,dim,precision,bits,rank1,rank5,mAP
pca,128,binary,128,0.21432403433476394,0.2921137339055794,0.1677151696181646
itq,128,binary,128,0.19957081545064378,0.2819206008583691,0.15650269426091704
pca,256,binary,256,0.2819206008583691,0.3607832618025751,0.22160513470036267
itq,256,binary,256,0.2843347639484979,0.3594420600858369,0.219110136486574
none,1536,binary,1536,0.35997854077253216,0.4251609442060086,0.2849058380120559
none,1536,int8,12288,0.3854613733905579,0.4573497854077253,0.31131984357690495
none,1536,fp16,24576,0.3857296137339056,0.45761802575107297,0.31130348916504935
none,1536,fp32,49152,0.3857296137339056,0.45761802575107297,0.3113047098380264
