reducer,dim,precision,bits,rank1,rank5,mAP,acc,acc_std,eer,tar_far0.01,tar_far0.001
pca,128,binary,128,0.916374269005848,0.9429824561403509,0.9285989367725368,0.973480627150189,0.004492573543112802,0.037093,0.958124,0.930988
itq,128,binary,128,0.9333333333333333,0.9505847953216374,0.9414244472369445,0.9766699565732333,0.003710683326806514,0.035917,0.959799,0.946399
pca,256,binary,256,0.9403508771929825,0.9508771929824561,0.9457141443624941,0.9783480909142181,0.0035575597775529813,0.034407,0.962479,0.956449
itq,256,binary,256,0.947953216374269,0.9532163742690059,0.9508044860189441,0.9806979301787828,0.0038459430893425404,0.035415,0.963149,0.961809
none,512,binary,512,0.947953216374269,0.9538011695906433,0.9509575365366486,0.9808651514296993,0.00302699277435927,0.034407,0.963819,0.961474
none,512,int8,4096,0.95,0.9543859649122807,0.9522781490988245,0.9808654334216907,0.0034587706413423884,0.033064,0.964824,0.962814
none,512,fp16,8192,0.95,0.9543859649122807,0.9522780683892657,0.9808654334216907,0.0034587706413423884,0.032728,0.964824,0.962814
none,512,fp32,16384,0.95,0.9543859649122807,0.9522780659776159,0.9808654334216907,0.0034587706413423884,0.032728,0.964824,0.962814
