reducer,dim,precision,bits,acc,acc_std,eer,tar_far0.01,tar_far0.001
pca,128,binary,128,0.9718533944892245,0.0067397717804055105,0.038197,0.952094,0.928978
itq,128,binary,128,0.9758751812755051,0.004317281000822451,0.037025,0.958459,0.934003
pca,256,binary,256,0.9757065528987218,0.0052647455481414735,0.034176,0.960469,0.939028
itq,256,binary,256,0.9790583229345833,0.003689742773897462,0.035181,0.962479,0.959799
none,1536,binary,1536,0.9802308522478164,0.0038799110781852723,0.036857,0.962814,0.961474
none,1536,int8,12288,0.9810686542331345,0.0034380638581487984,0.028479,0.963149,0.962479
none,1536,fp16,24576,0.9805658606230256,0.003285025832815361,0.028479,0.963149,0.962479
none,1536,fp32,49152,0.9805658606230256,0.003285025832815361,0.028479,0.963149,0.962479
