reducer,dim,precision,bits,acc,acc_std,eer,tar_far0.01,tar_far0.001
pca,128,binary,128,0.9421666666666667,0.010725100362130795,0.0685,0.888,0.813
itq,128,binary,128,0.9471666666666666,0.012111748199349445,0.067333,0.891333,0.854667
pca,256,binary,256,0.9501666666666665,0.011241045819278157,0.062167,0.907333,0.876
itq,256,binary,256,0.9561666666666667,0.011156711980786388,0.063833,0.923,0.907
none,512,binary,512,0.9583333333333333,0.011155467020454342,0.059,0.926333,0.913
none,512,int8,4096,0.9608333333333334,0.01121135337256144,0.058667,0.930333,0.923333
none,512,fp16,8192,0.9605,0.011231157059220979,0.058667,0.930333,0.923333
none,512,fp32,16384,0.9605,0.011231157059220979,0.058833,0.930333,0.923333
