reducer,dim,precision,bits,acc,acc_std,eer,tar_far0.01,tar_far0.001
pca,128,binary,128,0.9926666666666668,0.004358898943540664,0.008667,0.992333,0.970333
itq,128,binary,128,0.9938333333333332,0.003166666666666678,0.006333,0.994333,0.986
pca,256,binary,256,0.9953333333333333,0.003316624790355405,0.004833,0.996,0.992333
itq,256,binary,256,0.9973333333333333,0.003265986323710892,0.003333,0.997,0.995
none,512,binary,512,0.9966666666666667,0.0023570226039551423,0.0035,0.997333,0.994333
none,512,int8,4096,0.9983333333333333,0.0023570226039551657,0.003333,0.997667,0.996667
none,512,fp16,8192,0.9983333333333333,0.0023570226039551657,0.003333,0.997667,0.996667
none,512,fp32,16384,0.9983333333333333,0.0023570226039551657,0.003333,0.997667,0.996667
