reducer,dim,precision,bits,acc,acc_std,eer,tar_far0.01,tar_far0.001
pca,128,binary,128,0.825,0.0888913194112151,0.178167,0.596,0.484
itq,128,binary,128,0.8424999999999999,0.0756646475501531,0.158,0.641667,0.542333
pca,256,binary,256,0.8183333333333334,0.05348416172621158,0.157333,0.655667,0.569667
itq,256,binary,256,0.8433333333333334,0.05171503112678599,0.133667,0.692667,0.586333
none,512,binary,512,0.8485000000000001,0.061424976823583576,0.129833,0.696333,0.584667
none,512,int8,4096,0.8891666666666665,0.033872719275415596,0.090167,0.779667,0.661
none,512,fp16,8192,0.8908333333333335,0.032983581774371745,0.089833,0.779667,0.660667
none,512,fp32,16384,0.8908333333333335,0.032983581774371745,0.089833,0.78,0.660667
