reducer,dim,precision,bits,acc,acc_std,eer,tar_far0.01,tar_far0.001
pca,128,binary,128,0.9700108484255731,0.007361033868289041,0.038533,0.951424,0.924623
itq,128,binary,128,0.9738645689296597,0.004318899791630344,0.038532,0.959799,0.931993
pca,256,binary,256,0.9762093465088304,0.0046126149504292,0.037025,0.959129,0.947739
itq,256,binary,256,0.9778860746686453,0.0036526684863606414,0.036857,0.961809,0.955779
none,1536,binary,1536,0.9803986374827156,0.003270085262592257,0.036857,0.963149,0.962479
none,1536,int8,12288,0.980900868998235,0.003198857553580346,0.031998,0.963149,0.961474
none,1536,fp16,24576,0.980900868998235,0.003198857553580346,0.032165,0.963149,0.961474
none,1536,fp32,49152,0.980900868998235,0.003198857553580346,0.032165,0.963149,0.961474
