reducer,dim,precision,bits,acc,acc_std,eer,tar_far0.01,tar_far0.001
pca,128,binary,128,0.9084999999999999,0.016856419812311535,0.113,0.797333,0.686667
itq,128,binary,128,0.9123333333333333,0.011110555541665982,0.109833,0.822,0.736333
pca,256,binary,256,0.9206666666666667,0.014685593847940447,0.104167,0.834667,0.750667
itq,256,binary,256,0.932,0.01365853416569857,0.092333,0.87,0.831333
none,512,binary,512,0.9351666666666667,0.012570909982088718,0.088833,0.874667,0.819333
none,512,int8,4096,0.9413333333333334,0.011348029687032812,0.0845,0.893333,0.868
none,512,fp16,8192,0.9418333333333333,0.010787080750189613,0.085333,0.893667,0.868
none,512,fp32,16384,0.9418333333333333,0.010787080750189613,0.085333,0.893667,0.868
