reducer,dim,precision,bits,acc,acc_std,eer,tar_far0.01,tar_far0.001
pca,128,binary,128,0.7620000000000001,0.09274457156920589,0.206167,0.511333,0.389333
itq,128,binary,128,0.7539999999999999,0.09715165693102948,0.221167,0.514667,0.355667
pca,256,binary,256,0.7866666666666667,0.09542594569146857,0.2095,0.536333,0.442
itq,256,binary,256,0.7986666666666667,0.10873208664725728,0.200167,0.573333,0.472
none,1536,binary,1536,0.8083333333333333,0.057585684949569824,0.172167,0.599,0.466333
none,1536,int8,12288,0.8195,0.04837957558033486,0.161,0.611,0.463667
none,1536,fp16,24576,0.817,0.05284043064842594,0.161667,0.611333,0.463667
none,1536,fp32,49152,0.817,0.05284043064842594,0.161667,0.611667,0.463667
