reducer,dim,precision,bits,acc,acc_std
pca,128,binary,128,0.9437142857142857,0.011887225178694137
itq,128,binary,128,0.954857142857143,0.011591693014343308
pca,256,binary,256,0.9447142857142856,0.013851250588201145
itq,256,binary,256,0.9602857142857142,0.010762747543907065
none,1536,binary,1536,0.9604285714285714,0.012055145399879879
none,1536,int8,12288,0.9650000000000001,0.011749945722844672
none,1536,fp16,24576,0.9650000000000001,0.011749945722844672
none,1536,fp32,49152,0.9650000000000001,0.011749945722844672
