reducer,dim,precision,bits,acc,acc_std,eer,tar_far0.01,tar_far0.001
pca,128,binary,128,0.9063333333333334,0.0174928556845359,0.1155,0.790667,0.679667
itq,128,binary,128,0.9138333333333334,0.015456929406148793,0.111,0.827333,0.641667
pca,256,binary,256,0.9205,0.014024779657607627,0.103667,0.83,0.772667
itq,256,binary,256,0.9256666666666666,0.013461880337539115,0.096167,0.857,0.807
none,1536,binary,1536,0.932,0.01107549848389075,0.093167,0.873667,0.835
none,1536,int8,12288,0.9365,0.011653564070942235,0.090667,0.885667,0.858
none,1536,fp16,24576,0.9355,0.01130511192140776,0.090667,0.886,0.858
none,1536,fp32,49152,0.9355,0.01130511192140776,0.090667,0.886,0.858
