reducer,dim,precision,bits,acc,acc_std,eer,tar_far0.01,tar_far0.001
pca,128,binary,128,0.909,0.014302291968616616,0.107833,0.816333,0.718
itq,128,binary,128,0.9188333333333334,0.012248582684448731,0.100667,0.835667,0.746
pca,256,binary,256,0.9253333333333333,0.011638060166730715,0.097167,0.852,0.805667
itq,256,binary,256,0.933,0.01357694123627753,0.091333,0.866333,0.815
none,512,binary,512,0.9391666666666667,0.01238839062276541,0.088,0.883667,0.833
none,512,int8,4096,0.9443333333333334,0.011060440015358042,0.082667,0.898333,0.869667
none,512,fp16,8192,0.9438333333333333,0.01140297232206487,0.0825,0.898333,0.869667
none,512,fp32,16384,0.9443333333333334,0.011060440015358042,0.0825,0.898333,0.869667
