reducer,dim,precision,bits,acc,acc_std,eer,tar_far0.01,tar_far0.001
pca,128,binary,128,0.9023333333333333,0.016076207402383323,0.119,0.78,0.682333
itq,128,binary,128,0.9145000000000001,0.015203252575974947,0.109,0.818,0.697667
pca,256,binary,256,0.9195,0.014064336299859852,0.1085,0.830333,0.753
itq,256,binary,256,0.9278333333333334,0.01394532976383929,0.1005,0.863333,0.792333
none,1536,binary,1536,0.9341666666666665,0.010781929326423903,0.091667,0.876667,0.83
none,1536,int8,12288,0.9365,0.011116804097101534,0.090167,0.886,0.853
none,1536,fp16,24576,0.9361666666666666,0.011206396982676167,0.090167,0.886,0.853
none,1536,fp32,49152,0.9361666666666666,0.011206396982676167,0.090167,0.886,0.853
