reducer,dim,precision,bits,acc,acc_std,eer,tar_far0.01,tar_far0.001
pca,128,binary,128,0.9938333333333332,0.003876567783204344,0.006167,0.995,0.986333
itq,128,binary,128,0.9963333333333333,0.0029627314724385303,0.003833,0.996333,0.993
pca,256,binary,256,0.9958333333333332,0.00359397644214131,0.005667,0.995667,0.992333
itq,256,binary,256,0.9968333333333333,0.0027335365778094517,0.002833,0.996667,0.996
none,1536,binary,1536,0.9976666666666667,0.002134374745810952,0.003667,0.997,0.996667
none,1536,int8,12288,0.9981666666666665,0.0022912878474779267,0.003333,0.997333,0.996667
none,1536,fp16,24576,0.9981666666666665,0.0022912878474779267,0.003,0.997333,0.996667
none,1536,fp32,49152,0.9981666666666665,0.0022912878474779267,0.003,0.997333,0.996667
