reducer,dim,precision,bits,rank1,rank5,mAP,acc,acc_std
pca,128,binary,128,0.8312865497076023,0.881578947368421,0.8545091036177644,0.9746559697704585,0.005168702012240621
itq,128,binary,128,0.8964912280701754,0.9216374269005848,0.9086121620401532,0.9786842253679996,0.0036792659100880177
pca,256,binary,256,0.9236842105263158,0.9368421052631579,0.9301368159448257,0.978181151655293,0.004307866824964101
itq,256,binary,256,0.9453216374269006,0.9502923976608187,0.947777774080131,0.9805295809599007,0.002627493031825696
none,1536,binary,1536,0.9497076023391813,0.9535087719298245,0.9516551179372115,0.9808654334216909,0.00329196278037938
none,1536,int8,12288,0.9505847953216374,0.9546783625730995,0.9525293211128276,0.9806979301787828,0.0033783208906844305
none,1536,fp16,24576,0.9505847953216374,0.9546783625730995,0.9525304242225623,0.9806979301787828,0.0033783208906844305
none,1536,fp32,49152,0.9505847953216374,0.9546783625730995,0.9525304253351193,0.9806979301787828,0.0033783208906844305
