reducer,dim,precision,bits,acc,acc_std,eer,tar_far0.01,tar_far0.001
pca,128,binary,128,0.9461666666666666,0.010221165404307982,0.068333,0.896,0.863333
itq,128,binary,128,0.9503333333333334,0.011348029687032805,0.065333,0.913667,0.863
pca,256,binary,256,0.9530000000000001,0.011780398031381525,0.0645,0.915333,0.894
itq,256,binary,256,0.9573333333333334,0.011135528725660036,0.06,0.926333,0.899667
none,1536,binary,1536,0.9615,0.010150259985723421,0.057,0.929,0.920667
none,1536,int8,12288,0.9608333333333334,0.010960788698304925,0.056333,0.932,0.921667
none,1536,fp16,24576,0.9608333333333334,0.010960788698304925,0.056,0.932,0.921667
none,1536,fp32,49152,0.9608333333333334,0.010960788698304925,0.056,0.932,0.921667
