reducer,dim,precision,bits,acc,acc_std,eer,tar_far0.01,tar_far0.001
pca,128,binary,128,0.9514285714285714,0.012888849792731378,0.058286,0.913714,0.853143
itq,128,binary,128,0.9608571428571429,0.010364775512695467,0.054429,0.930286,0.897429
pca,256,binary,256,0.9555714285714286,0.011000000000000006,0.054571,0.921714,0.869143
itq,256,binary,256,0.9671428571428571,0.010261877140610283,0.048714,0.944286,0.934857
none,1536,binary,1536,0.969,0.00899092513003405,0.046286,0.948857,0.933429
none,1536,int8,12288,0.970857142857143,0.01143214229928147,0.045429,0.95,0.940286
none,1536,fp16,24576,0.970857142857143,0.01143214229928147,0.045429,0.95,0.940286
none,1536,fp32,49152,0.970857142857143,0.01143214229928147,0.045429,0.95,0.940286
