reducer,dim,precision,bits,acc,acc_std,eer,tar_far0.01,tar_far0.001
pca,128,binary,128,0.7885000000000001,0.06248755431639522,0.187333,0.545667,0.451
itq,128,binary,128,0.8111666666666666,0.09516666666666666,0.188667,0.572667,0.442
pca,256,binary,256,0.8123333333333335,0.07385120175054702,0.180167,0.600667,0.511333
itq,256,binary,256,0.8295,0.07434174092960456,0.170333,0.637667,0.548333
none,1536,binary,1536,0.8605,0.0615722249791973,0.144833,0.669333,0.562667
none,1536,int8,12288,0.8593333333333334,0.048700901200879,0.127667,0.701667,0.544667
none,1536,fp16,24576,0.8584999999999999,0.04853091798019073,0.128,0.701333,0.545667
none,1536,fp32,49152,0.8584999999999999,0.04853091798019073,0.128,0.701333,0.545667
