reducer,dim,precision,bits,rank1,rank5,mAP,acc,acc_std
pca,128,binary,128,0.8780701754385964,0.9146198830409357,0.8945007867771329,0.9746559697704585,0.005168702012240621
itq,128,binary,128,0.9169590643274854,0.9391812865497076,0.9270909031985675,0.9786842253679996,0.0036792659100880177
pca,256,binary,256,0.933625730994152,0.9444444444444444,0.9388750440807471,0.978181151655293,0.004307866824964101
itq,256,binary,256,0.947953216374269,0.9511695906432749,0.949709294845653,0.9805295809599007,0.002627493031825696
none,1536,binary,1536,0.9497076023391813,0.9535087719298245,0.9517827676228776,0.9808654334216909,0.00329196278037938
none,1536,int8,12288,0.9505847953216374,0.9546783625730995,0.952554765167094,0.9806979301787828,0.0033783208906844305
none,1536,fp16,24576,0.9505847953216374,0.9546783625730995,0.9525557991157472,0.9806979301787828,0.0033783208906844305
none,1536,fp32,49152,0.9505847953216374,0.9546783625730995,0.9525557993132917,0.9806979301787828,0.0033783208906844305
