reducer,dim,precision,bits,rank1,rank5,mAP,acc,acc_std,eer,tar_far0.01,tar_far0.001
pca,128,binary,128,0.9076023391812865,0.9342105263157895,0.920343744211622,0.9746559697704585,0.005168702012240621,0.036423,0.958124,0.945059
itq,128,binary,128,0.9359649122807018,0.9482456140350877,0.9415294857614982,0.9786836613840167,0.0035264892474603155,0.034744,0.961139,0.957119
pca,256,binary,256,0.9388888888888889,0.947953216374269,0.9433843244538044,0.978181151655293,0.004307866824964101,0.03239,0.962144,0.957789
itq,256,binary,256,0.9470760233918128,0.9529239766081872,0.9500391249081157,0.9812012858834809,0.0032562955337778286,0.032557,0.964154,0.962479
none,1536,binary,1536,0.9497076023391813,0.9535087719298245,0.9518471005120167,0.9808654334216909,0.00329196278037938,0.034072,0.964824,0.962479
none,1536,int8,12288,0.9505847953216374,0.9546783625730995,0.9525795817393329,0.9806979301787828,0.0033783208906844305,0.03424,0.965159,0.962814
none,1536,fp16,24576,0.9505847953216374,0.9546783625730995,0.9525806021918763,0.9806979301787828,0.0033783208906844305,0.033904,0.965159,0.962814
none,1536,fp32,49152,0.9505847953216374,0.9546783625730995,0.9525806051046973,0.9806979301787828,0.0033783208906844305,0.033904,0.965159,0.962814
