reducer,dim,precision,bits,acc,acc_std,eer,tar_far0.01,tar_far0.001
pca,128,binary,128,0.9524285714285714,0.013553371445917835,0.060143,0.899714,0.830857
itq,128,binary,128,0.9597142857142856,0.011965938052212534,0.050286,0.928286,0.893714
pca,256,binary,256,0.9560000000000001,0.013818059759249997,0.053143,0.922857,0.893429
itq,256,binary,256,0.9668571428571429,0.008985248682009376,0.048714,0.942571,0.908857
none,1536,binary,1536,0.9678571428571429,0.009840565771025442,0.046,0.944857,0.929429
none,1536,int8,12288,0.9701428571428572,0.0118399186428534,0.045429,0.950286,0.939429
none,1536,fp16,24576,0.9694285714285714,0.01101390586708364,0.044857,0.950286,0.939429
none,1536,fp32,49152,0.9694285714285714,0.01101390586708364,0.044857,0.950286,0.939429
