reducer,dim,precision,bits,acc,acc_std,eer,tar_far0.01,tar_far0.001
pca,128,binary,128,0.9926666666666666,0.0035901098714230177,0.007667,0.991667,0.975667
itq,128,binary,128,0.994,0.0035118845842842567,0.006167,0.993667,0.988
pca,256,binary,256,0.9949999999999999,0.003944053188733079,0.005,0.996667,0.992
itq,256,binary,256,0.9968333333333333,0.0029297326385411583,0.003833,0.996333,0.995667
none,512,binary,512,0.9968333333333332,0.0027335365778094665,0.003333,0.997333,0.995667
none,512,int8,4096,0.9978333333333333,0.00258736244937666,0.003333,0.998,0.996667
none,512,fp16,8192,0.9978333333333333,0.00258736244937666,0.0035,0.998,0.996667
none,512,fp32,16384,0.9978333333333333,0.00258736244937666,0.0035,0.998,0.996667
