reducer,dim,precision,bits,acc,acc_std,eer,tar_far0.01,tar_far0.001
pca,128,binary,128,0.9476666666666667,0.011234866364235136,0.066167,0.902333,0.833333
itq,128,binary,128,0.9526666666666668,0.011527744310527058,0.067833,0.916333,0.868
pca,256,binary,256,0.9525,0.011977989072553964,0.063167,0.917,0.889667
itq,256,binary,256,0.9596666666666668,0.011756794725698938,0.061667,0.924,0.906667
none,1536,binary,1536,0.9606666666666668,0.010754843869934477,0.058,0.929333,0.922333
none,1536,int8,12288,0.9606666666666668,0.01169520319523256,0.057167,0.930667,0.92
none,1536,fp16,24576,0.9606666666666668,0.01169520319523256,0.057333,0.930333,0.920333
none,1536,fp32,49152,0.9606666666666668,0.01169520319523256,0.057333,0.930333,0.920333
