reducer,dim,precision,bits,acc,acc_std,eer,tar_far0.01,tar_far0.001
pca,128,binary,128,0.9433333333333334,0.009999999999999993,0.072667,0.88,0.801
itq,128,binary,128,0.9491666666666667,0.012455476261022244,0.067,0.903333,0.863333
pca,256,binary,256,0.952,0.01056198634516991,0.062833,0.907333,0.857
itq,256,binary,256,0.9533333333333334,0.010327955589886445,0.064167,0.916667,0.884667
none,512,binary,512,0.9564999999999999,0.011724854891307708,0.062167,0.922,0.907667
none,512,int8,4096,0.9595,0.010879389280245063,0.057833,0.930667,0.920667
none,512,fp16,8192,0.959,0.010984838035522726,0.058167,0.930333,0.921
none,512,fp32,16384,0.959,0.010984838035522726,0.058,0.930333,0.921
