reducer,dim,precision,bits,acc,acc_std,eer,tar_far0.01,tar_far0.001
pca,128,binary,128,0.9481666666666667,0.011041588050034594,0.070667,0.904667,0.849
itq,128,binary,128,0.9505000000000001,0.012672147936846909,0.065,0.91,0.888
pca,256,binary,256,0.9515,0.009263128821060177,0.062,0.915,0.893667
itq,256,binary,256,0.9563333333333333,0.011874342087037918,0.0625,0.924333,0.905333
none,1536,binary,1536,0.9613333333333334,0.010796089827134455,0.056,0.93,0.921333
none,1536,int8,12288,0.9628333333333334,0.010647117502456307,0.0555,0.932,0.921333
none,1536,fp16,24576,0.9628333333333334,0.010647117502456307,0.0555,0.932,0.921333
none,1536,fp32,49152,0.9628333333333334,0.010647117502456307,0.0555,0.932,0.921333
