reducer,dim,precision,bits,rank1,rank5,mAP,acc,acc_std
pca,128,binary,128,0.9263157894736842,0.9456140350877194,0.9358477728237825,0.9746559697704585,0.005168702012240621
itq,128,binary,128,0.939766081871345,0.9514619883040936,0.9454724409843854,0.9786842253679996,0.0036792659100880177
pca,256,binary,256,0.941812865497076,0.9508771929824561,0.9464719220369291,0.978181151655293,0.004307866824964101
itq,256,binary,256,0.9491228070175438,0.954093567251462,0.9515341013571641,0.9805295809599007,0.002627493031825696
none,1536,binary,1536,0.9497076023391813,0.9535087719298245,0.9519198492184936,0.9808654334216909,0.00329196278037938
none,1536,int8,12288,0.9505847953216374,0.9546783625730995,0.9526166702218762,0.9806979301787828,0.0033783208906844305
none,1536,fp16,24576,0.9505847953216374,0.9546783625730995,0.952617735262138,0.9806979301787828,0.0033783208906844305
none,1536,fp32,49152,0.9505847953216374,0.9546783625730995,0.9526177417797852,0.9806979301787828,0.0033783208906844305
