reducer,dim,precision,bits,acc,acc_std,eer,tar_far0.01,tar_far0.001
pca,128,binary,128,0.8074999999999999,0.07881853278963717,0.182167,0.578333,0.419667
itq,128,binary,128,0.8265,0.08450000000000002,0.194667,0.570333,0.423667
pca,256,binary,256,0.8093333333333333,0.06633752080585065,0.168667,0.612333,0.487667
itq,256,binary,256,0.819,0.06843569568905138,0.168167,0.637333,0.511
none,1536,binary,1536,0.8723333333333333,0.06668416437039439,0.139167,0.683333,0.586667
none,1536,int8,12288,0.8703333333333335,0.04752660073872081,0.1205,0.711333,0.578667
none,1536,fp16,24576,0.8753333333333334,0.04400631267847326,0.121,0.711,0.578333
none,1536,fp32,49152,0.8753333333333334,0.04400631267847326,0.121,0.711,0.578333
