reducer,dim,precision,bits,rank1,rank5,mAP
pca,128,binary,128,0.2690450643776824,0.35139484978540775,0.21131810220666286
itq,128,binary,128,0.2666309012875536,0.3540772532188841,0.2122048277318084
pca,256,binary,256,0.31410944206008584,0.3956545064377682,0.25009339354178234
itq,256,binary,256,0.328862660944206,0.4136266094420601,0.26142043710789303
none,1536,binary,1536,0.3784871244635193,0.45466738197424894,0.30717457327782277
none,1536,int8,12288,0.4042381974248927,0.490343347639485,0.33396124319670273
none,1536,fp16,24576,0.40396995708154504,0.49007510729613735,0.3339505420188757
none,1536,fp32,49152,0.40396995708154504,0.49007510729613735,0.3339513886082035
