reducer,dim,precision,bits,acc,acc_std,eer,tar_far0.01,tar_far0.001
pca,128,binary,128,0.9720225849605972,0.007185422034170622,0.038365,0.952429,0.909883
itq,128,binary,128,0.9758746191809159,0.005095791636965685,0.039705,0.957119,0.916583
pca,256,binary,256,0.9740326352118535,0.00530952348045199,0.035517,0.957454,0.940704
itq,256,binary,256,0.977718289433746,0.003673170183033291,0.036857,0.962814,0.956784
none,1536,binary,1536,0.9800633480602116,0.003854358884821336,0.036522,0.963149,0.962144
none,1536,int8,12288,0.9812361584207391,0.0032494335740478877,0.026971,0.963149,0.963149
none,1536,fp16,24576,0.9810686542331345,0.0031838379231365743,0.026804,0.963149,0.963149
none,1536,fp32,49152,0.9810686542331345,0.0031838379231365743,0.026804,0.963149,0.963149
