reducer,dim,precision,bits,acc,acc_std,eer,tar_far0.01,tar_far0.001
pca,128,binary,128,0.9515714285714285,0.01007016202775836,0.058857,0.902286,0.816857
itq,128,binary,128,0.962857142857143,0.011814898930363036,0.049857,0.934857,0.89
pca,256,binary,256,0.9577142857142856,0.009501879513323371,0.051286,0.92,0.828
itq,256,binary,256,0.967,0.010130777515137954,0.044286,0.943714,0.919429
none,512,binary,512,0.9690000000000001,0.009541531131140889,0.046,0.944286,0.920857
none,512,int8,4096,0.9731428571428573,0.009831228876620158,0.040429,0.954857,0.943429
none,512,fp16,8192,0.9734285714285715,0.010345066851560976,0.039714,0.954857,0.943429
none,512,fp32,16384,0.9734285714285715,0.010345066851560976,0.039714,0.954857,0.943429
